,BoatHash,W_score,H_score
0,-4342815062504795397,59,27
1,-5678666735416058527,12,15
2,-8107162929530475490,9,6
3,-5814802307606254270,27,8
4,8486170764061610740,3,0
5,-8400243601939844346,21,14
6,7980271465115744777,21,21
7,365050675265923851,20,22
8,1979835679909957730,8,5
9,6952730441962476053,5,3
10,3696443197220512203,2,3
11,-3049896652446290087,2,6
12,-5615263598052556250,7,5
13,7279206948291024464,4,3
14,-5682212285115276918,6,9
15,-4940211749239149477,9,19
16,7963393390203849817,11,19
17,8798962138556461216,16,22
18,2279277250067817677,3,10
19,8456684157654814325,4,5
20,-8378544231256881831,8,11
21,4710450781099491552,94,107
22,6253186133916948339,45,52
23,5439345037578895546,12,14
24,3634556928657567893,124,210
25,8014408106694736940,4,3
26,-8393096663491391548,18,16
27,7685591831419133569,8,12
28,6343282409583673570,19,31
29,-5680809770518845742,20,18
30,1553304291094737136,9,16
31,8897207631102380552,17,15
32,8754616083469831780,36,31
33,2627760635305086853,21,22
34,-2208279979231694278,28,25
35,-7363951976867784759,90,98
36,4127465738352261888,104,95
37,6979519898813197355,7,9
38,6939631388113075216,10,15
39,2591879409326207558,162,59
40,-1017725346611338905,65,42
41,6847886587217993005,69,99
42,-5391641699117983170,39,55
43,-3807334024192197394,32,40
44,3601619181079467465,39,42
45,3175976656152409623,12,12
46,8518284783673960459,79,96
47,5216548554499952577,13,12
48,2330650979637434815,190,71
49,2512488251423642885,6,6
50,3402479722789567400,39,26
51,5277083128598026884,42,65
52,7473631489010601160,47,49
53,6481318281126526580,2,6
54,-5296360705384643220,71,90
55,4285083221382527048,13,16
56,-8502399454634686456,82,95
57,7893880502393974255,42,40
58,6336637867553467730,14,11
59,-6543974993881617031,2,5
60,-2485450965251296690,16,16
61,-4896740501312595356,47,29
62,1398036803922495168,124,81
63,-5021593437323295829,10,17
64,-8804973219714298866,43,32
65,-5858028144205972364,147,113
66,-4512477113382064094,2,3
67,6548653761505136911,26,15
68,5366170301373476678,24,9
69,-6391390097349190698,38,17
70,2223696436147257291,35,16
71,-957947839730197460,29,19
72,-6942072485999093060,47,22
73,-1202315439261918374,29,19
74,-1745226805615438524,13,12
75,-28817592211005035,16,13
76,24494052453900762,4,7
77,3691799115331281121,3,9
78,9026745709141951864,35,79
79,-2679959452904374862,34,15
80,-8486426171964147840,145,71
81,1075464374455186387,66,46
82,7528306330301636035,4,9
83,3788775854666972699,3,8
84,1886792113472078509,8,13
85,3157341215956460167,6,11
86,-1766520418061114183,8,10
87,9157883558356563784,17,21
88,-6580330593345020745,19,20
89,1459786186419703373,8,13
90,-9194875878807459318,8,13
91,-8430909201390993711,4,10
92,4825813226122037172,2,11
93,2260244327491412811,15,9
94,-3283965558480368542,15,23
95,-3579037757227791402,45,16
96,-1262628522515981185,10,11
97,-8515073911640193036,109,55
98,3331893594428676483,49,27
99,3335579015936228427,9,6
100,2052333158267912497,6,6
101,7359820903610540271,7,4
102,6620783256295032509,12,14
103,-21805812729622554,46,38
104,5700552596549364716,9,5
105,4062702826949325426,10,9
106,1651032675627540276,124,51
107,-7139250656915660510,110,100
108,-2213280641538182049,49,83
109,-2166396570348285456,110,80
110,7463351983917094879,129,92
111,-7408621183881331063,96,65
112,-5598716040517353434,53,92
113,-7784328129469800978,9,12
114,-1032702187004423095,10,19
115,587407548920823451,91,33
116,-4295944194540695915,6,5
117,397649207334371477,7,7
118,143440669959470288,38,17
119,-4196844417998912190,45,93
120,3770438252831566279,11,16
121,-152641720174155236,10,3
122,-6578682126535123755,14,15
123,-7582753943763670440,8,11
124,-666566389455743733,10,12
125,9014535615338190726,10,9
126,4681436584870211916,51,21
127,8431192891603295926,27,16
128,783113852998372229,8,12
129,-3917292087497054447,7,9
130,3165854402543757074,12,17
131,2594611847615291521,5,7
132,-456716099442688208,70,52
133,-1579701970425979992,34,29
134,988230711859955299,64,58
135,-245911218396125332,3,6
136,-1324142196748793505,13,15
137,-9037097259050943314,27,113
138,5339810698047967328,8,4
139,7768546430258340856,35,38
140,158585400195063309,90,60
141,-8222561816269523050,5,7
142,-8452612814352722043,4,6
143,7696338765208810243,12,10
144,6314999455120687834,23,14
145,-7537780225656627868,34,36
146,5029891695874575979,52,55
147,-6479109003619455639,41,44
148,1508574553812100859,21,25
149,4703395919180352917,5,7
150,1370392189341564326,11,19
151,-6813143057618699109,4,5
152,3520401482952172604,5,7
153,1862657986854502273,8,35
154,-2421666457715157032,19,28
155,1113895696625381042,4,11
156,-9186194514552853705,8,10
157,-3314133057410776983,57,113
158,-3279156498024654846,15,41
159,814022746093163829,8,18
160,8586575591452979303,71,40
161,1905664213557028928,52,35
162,8347021672316001808,47,22
163,7957027139148465943,69,118
164,-2025692694469990481,8,14
165,-666125165542564570,33,56
166,2046059504004520816,99,171
167,-7651916386423817806,19,40
168,6704571497367618158,18,7
169,5080975091065794320,8,14
170,-8358314348859213486,6,9
171,-4585851291158479988,93,28
172,5217496923722933513,26,24
173,-585484157707657784,25,24
174,6388551680811294358,19,14
175,-6788061125614193380,17,13
176,-8635570701865776534,112,117
177,7531951822177242210,4,16
178,2603872593890810224,8,8
179,-3015996766630647425,9,12
180,-4116273216819937856,8,14
181,-2450360709335411493,8,17
182,-4302335639755881104,12,19
183,-1155932093903267489,9,13
184,-8158255228692608525,13,18
185,-8323487268532714343,32,50
186,-4859427320706444255,23,29
187,8223852667825350514,12,9
188,-7002042774297167269,23,17
189,9195744609549968720,28,22
190,-8566769419701531145,15,61
191,-4409395482476993685,9,47
192,-5454599153103681908,27,55
193,-6977353476319709100,56,149
194,7385596443866236966,58,124
195,3448432251876702444,8,10
196,-3192936682767313090,17,51
197,6753024120279877009,5,11
198,288713231793689533,36,34
199,2906273036426829992,119,34
200,6511322805238438922,151,51
201,3420195849111861504,13,23
202,9065719260513168463,16,35
203,-6568609100298997765,5,8
204,-9122632704941336335,46,43
205,4520228696101824103,7,10
206,256915640755406435,15,18
207,1364159652400193282,23,22
208,354523228273894601,10,6
209,994841506462088121,11,23
210,7104992440249590556,13,12
211,4146694023060756291,29,27
212,-375325944701476076,2,9
213,787022752993076848,12,13
214,5412662145562293761,18,59
215,1019924093314446643,31,34
216,-7298717311044868148,35,37
217,1368776704453438620,19,8
218,-1659763545275811423,4,5
219,-7330478476428569940,21,64
220,-6779020679863389984,45,28
221,-331489940536729852,52,73
222,4707776116435040660,16,25
223,7499501469346225969,10,14
224,6428810352544434179,5,9
225,-7931594385407870047,5,7
226,7063021531285391445,18,14
227,-8599674080727328239,33,55
228,2858005531612889385,26,40
229,-7962384999127626629,150,106
230,-5584041787444088076,125,54
231,5336893861827762675,107,95
232,4429240401999875876,10,14
233,206679967689254498,8,12
234,9045450840329341833,2,3
235,699216561272051036,6,8
236,-2817255776976724549,45,65
237,7033250952724479333,35,24
238,-6924850197976402239,25,29
239,-6714539895758549366,49,57
