filename,W,H
000155de5.jpg,103.0,36.0
000194a2d.jpg,22.0,20.0
000194a2d.jpg,17.0,9.0
000194a2d.jpg,47.0,11.0
000194a2d.jpg,6.0,1.0
000194a2d.jpg,38.0,19.0
00021ddc3.jpg,37.0,28.0
00021ddc3.jpg,36.0,30.0
00021ddc3.jpg,15.0,7.0
00021ddc3.jpg,10.0,5.0
00021ddc3.jpg,5.0,4.0
00021ddc3.jpg,5.0,9.0
00021ddc3.jpg,13.0,7.0
00021ddc3.jpg,8.0,5.0
00021ddc3.jpg,12.0,12.0
0002756f7.jpg,17.0,26.0
0002756f7.jpg,20.0,26.0
00031f145.jpg,28.0,29.0
000532683.jpg,6.0,14.0
000532683.jpg,8.0,7.0
00053c6ba.jpg,15.0,15.0
0005d01c8.jpg,164.0,141.0
0005d01c8.jpg,79.0,69.0
0005d6d95.jpg,21.0,19.0
0006c52e8.jpg,216.0,275.0
000d42241.jpg,7.0,5.0
000e6378b.jpg,32.0,21.0
000fd9827.jpg,15.0,17.0
00113a75c.jpg,34.0,41.0
00113a75c.jpg,36.0,24.0
00113a75c.jpg,17.0,21.0
00113a75c.jpg,31.0,20.0
00113a75c.jpg,64.0,41.0
00113a75c.jpg,38.0,29.0
00113a75c.jpg,50.0,34.0
001234638.jpg,156.0,129.0
001566f7c.jpg,181.0,125.0
0017c19d6.jpg,13.0,13.0
0017c19d6.jpg,19.0,20.0
0018e5d6c.jpg,282.0,78.0
0019fc4d8.jpg,114.0,55.0
001aee007.jpg,121.0,130.0
001aee007.jpg,68.0,73.0
001aee007.jpg,56.0,53.0
001aee007.jpg,69.0,56.0
001bcf222.jpg,21.0,16.0
001e418bc.jpg,137.0,126.0
001eb2794.jpg,23.0,16.0
001ed8b9b.jpg,329.0,93.0
001eda01f.jpg,12.0,9.0
0022f64e5.jpg,68.0,35.0
00269a792.jpg,73.0,86.0
0027854cc.jpg,83.0,65.0
002868a5c.jpg,5.0,8.0
00286e8b9.jpg,123.0,119.0
002943412.jpg,24.0,21.0
002943412.jpg,143.0,125.0
002943412.jpg,73.0,53.0
002c62c03.jpg,25.0,15.0
002c78530.jpg,5.0,7.0
002c78530.jpg,29.0,21.0
002d56570.jpg,83.0,38.0
002deeb16.jpg,215.0,106.0
002e85393.jpg,18.0,23.0
002fdcf51.jpg,75.0,42.0
002fdcf51.jpg,255.0,148.0
00319c32d.jpg,4.0,5.0
003520305.jpg,46.0,20.0
003520305.jpg,43.0,12.0
003520305.jpg,66.0,23.0
003520305.jpg,61.0,21.0
003520305.jpg,51.0,25.0
003520305.jpg,83.0,29.0
003520305.jpg,51.0,25.0
00371aa92.jpg,24.0,16.0
0038cbe45.jpg,29.0,18.0
003b48a9e.jpg,7.0,10.0
003b48a9e.jpg,6.0,13.0
003d43308.jpg,61.0,104.0
003e2c95d.jpg,60.0,20.0
0040cf4e9.jpg,252.0,93.0
004141855.jpg,115.0,61.0
0041d7084.jpg,7.0,12.0
0041d7084.jpg,6.0,11.0
0041d7084.jpg,15.0,18.0
0041d7084.jpg,11.0,15.0
0041d7084.jpg,14.0,14.0
004331bef.jpg,31.0,28.0
004331bef.jpg,33.0,27.0
0046d5d83.jpg,15.0,18.0
00497c23d.jpg,14.0,18.0
004bc7ae6.jpg,7.0,14.0
004bc7ae6.jpg,5.0,15.0
004d7c73a.jpg,27.0,13.0
004e68ede.jpg,26.0,31.0
004e94ecb.jpg,78.0,22.0
004f97cfb.jpg,18.0,15.0
00552a73d.jpg,189.0,72.0
00552a73d.jpg,85.0,36.0
00552a73d.jpg,17.0,8.0
00552a73d.jpg,12.0,9.0
0056d301c.jpg,13.0,6.0
0056d301c.jpg,21.0,19.0
0056d301c.jpg,81.0,50.0
0056fbc62.jpg,16.0,7.0
00578738f.jpg,18.0,12.0
005883911.jpg,215.0,67.0
005a7670a.jpg,191.0,131.0
005c8e121.jpg,86.0,109.0
005d6a820.jpg,192.0,105.0
005d6a820.jpg,224.0,121.0
005d6a820.jpg,167.0,86.0
005d6a820.jpg,92.0,121.0
005f02549.jpg,17.0,17.0
005faf88a.jpg,19.0,25.0
0060f6de0.jpg,159.0,44.0
00610229c.jpg,11.0,7.0
0062ad143.jpg,13.0,6.0
